game_id,season,week,season_type,team,opponent,is_home,n_plays,epa_sum,epa_per_play
2011_08_NE_PIT,2011,8,REG,PIT,NE,1,79,9.1857,0.116275
2011_08_NO_STL,2011,8,REG,LA,NO,1,73,-1.2626,-0.017296
2011_08_NO_STL,2011,8,REG,NO,LA,0,69,-7.3493,-0.106512
2011_08_SD_KC,2011,8,REG,KC,LAC,1,67,-8.8133,-0.131541
2011_08_SD_KC,2011,8,REG,LAC,KC,0,76,-5.4924,-0.072269
2011_08_WAS_BUF,2011,8,REG,BUF,WAS,1,64,0.2438,0.003809
2011_08_WAS_BUF,2011,8,REG,WAS,BUF,0,56,-24.1875,-0.43192
2011_09_ATL_IND,2011,9,REG,ATL,IND,0,69,10.2111,0.147988
2011_09_ATL_IND,2011,9,REG,IND,ATL,1,57,-19.5129,-0.342332
2011_09_BAL_PIT,2011,9,REG,BAL,PIT,0,79,12.4056,0.157033
2011_09_BAL_PIT,2011,9,REG,PIT,BAL,1,59,8.2725,0.140211
2011_09_CHI_PHI,2011,9,REG,CHI,PHI,0,71,6.2962,0.088679
2011_09_CHI_PHI,2011,9,REG,PHI,CHI,1,64,0.0553,0.000864
2011_09_CIN_TEN,2011,9,REG,CIN,TEN,0,75,8.2143,0.109523
2011_09_CIN_TEN,2011,9,REG,TEN,CIN,1,68,-3.6628,-0.053864
2011_09_CLE_HOU,2011,9,REG,CLE,HOU,0,49,-11.0832,-0.226188
2011_09_CLE_HOU,2011,9,REG,HOU,CLE,1,62,10.3577,0.167059
2011_09_DEN_OAK,2011,9,REG,DEN,LV,0,67,16.1251,0.240673
2011_09_DEN_OAK,2011,9,REG,LV,DEN,1,66,3.7916,0.057448
2011_09_GB_SD,2011,9,REG,GB,LAC,0,59,19.028,0.322508
2011_09_GB_SD,2011,9,REG,LAC,GB,1,74,3.8094,0.051479
2011_09_MIA_KC,2011,9,REG,KC,MIA,1,83,-13.9628,-0.168226
2011_09_MIA_KC,2011,9,REG,MIA,KC,0,45,17.1325,0.380723
2011_09_NYG_NE,2011,9,REG,NE,NYG,1,76,0.0732,0.000963
2011_09_NYG_NE,2011,9,REG,NYG,NE,0,71,1.7362,0.024454
2011_09_NYJ_BUF,2011,9,REG,BUF,NYJ,1,56,-8.2364,-0.147079
2011_09_NYJ_BUF,2011,9,REG,NYJ,BUF,0,68,10.1498,0.149262
2011_09_SEA_DAL,2011,9,REG,DAL,SEA,1,62,7.4133,0.11957
2011_09_SEA_DAL,2011,9,REG,SEA,DAL,0,63,-0.0514,-0.000815
2011_09_SF_WAS,2011,9,REG,SF,WAS,0,57,-2.8479,-0.049964
2011_09_SF_WAS,2011,9,REG,WAS,SF,1,68,-14.7287,-0.216599
2011_09_STL_ARI,2011,9,REG,ARI,LA,1,57,-4.499,-0.078931
2011_09_STL_ARI,2011,9,REG,LA,ARI,0,77,-5.9868,-0.07775
2011_09_TB_NO,2011,9,REG,NO,TB,1,65,12.8505,0.1977
2011_09_TB_NO,2011,9,REG,TB,NO,0,64,-0.1999,-0.003123
